1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,92
1008,0
2494,294
2495,294
2496,100
2497,213
2498,214
2499,323
2500,0
2501,294
2502,117
2503,165
2504,136
2536,0
2537,139
2538,85
2539,220
2540,30
2541,35
2542,186
2544,58
2545,0
2546,0
2547,79
2548,90
2549,153
2550,0
2552,265
2561,59
2562,47
2563,292
2564,0
2565,77
2566,218
2567,200
2568,41
2569,58
2570,167
2571,91
2572,120
2574,207
2575,366
2576,0
2707,418
2711,157
2712,0
2822,129
2823,40
3291,22
3292,90
3293,106
3294,0
3377,207
3381,0
3390,214
3455,76
3464,0
3513,157
3619,205
3621,193
3635,22
3660,106
3684,180
3685,88
3686,170
3687,223
