1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,81
1008,0
2494,317
2495,262
2496,106
2497,232
2498,233
2499,315
2500,0
2501,260
2502,108
2503,205
2504,125
2536,0
2537,114
2538,97
2539,219
2540,40
2541,54
2542,166
2544,61
2545,0
2546,0
2547,73
2548,107
2549,135
2550,0
2552,260
2561,53
2562,61
2563,316
2564,0
2565,76
2566,217
2567,204
2568,71
2569,69
2570,97
2571,97
2572,137
2574,215
2575,351
2576,0
2707,429
2711,133
2712,0
2822,142
2823,29
3291,56
3292,56
3293,105
3294,0
3377,238
3381,0
3390,207
3455,84
3464,0
3513,167
3619,200
3621,209
3635,20
3660,111
3684,171
3685,75
3686,161
3687,201
